,All Kelp,North Kelp,South Kelp
1991,293.185298,61.139529,232.045769
1992,250.382634,,215.035934
1993,,,
1994,409.241033,21.629259,387.611774
1995,43.735777,5.295443,38.440334
1996,,,
1997,371.748268,134.455615,237.292653
1998,,,
1999,1512.538533,282.734956,1229.803577
2000,393.427456,72.071227,321.356229
2001,1352.241307,130.973169,1221.268138
2002,964.21846,92.136764,872.081696
2003,155.316726,2.991195,152.325531
2004,201.444087,24.827203,176.616884
2005,109.153697,2.6819,106.471797
2006,,,64.939586
2007,495.217443,42.914186,452.303257
2008,1382.271146,416.866336,965.40481
2009,703.356636,123.044605,580.312031
2010,,,
2011,537.537652,151.639903,385.897749
2012,,,
2013,1192.838187,356.656978,836.181209
2014,185.212834,6.99842,178.214414
2015,15.871375,1.723772,14.147603
2016,42.336023,8.595266,33.740757
2017,9.939899,5.144578,4.795321
2018,9.002183,1.9798,7.022383
2019,0.843438,0.527541,0.315897
2020,8.017376,2.394056,5.62332
